Date,May  30 Ontario - all,,,,May 30 Ontario community,,,,May 30 Ontario outbreak,,,,May  30 Toronto - all,,,,May 30 Toronto community,,,,May 30 Toronto outbreak,,,,May  30 Ontario - Tor: all,,,,May 30 Ontario - Tor: community,,,,May 30 Ontario - Tor: outbreak,,,,May  30 Peel - all,Mississauga,,,May 30 Peel community,,,,May 30 Peel outbreak,,,
,Travel - Ont all,Contact - Ont all,Neither  - Ont all,Pending - Ont all,Travel - Ont non-outbreak,Contact - Ont non-outbreak,Neither - Ont non-outbreak,Pending - Ont non-outbreak,Travel - Ont outbreak,Contact - Ont outbreak,Neither - Ont outbreak,Pending - Ont outbreak,Travel -  Tor all,Contact - Tor all,Neither  - Tor all,Pending - Tor all,Travel - Tor non-outbreak,Contact - Tor non-outbreak,Neither - Tor non-outbreak,Pending - Tor non-outbreak,Travel - Tor outbreak,Contact - Tor outbreak,Neither - Tor outbreak,Pending - Tor outbreak,Travel - rest of Ont: all,Contact - rest of Ont: all,Neither  - rest of Ont: all,Pending - rest of Ont: all,Travel - rest of Ont: non-outbreak,Contact - rest of Ont: non-outbreak,Neither - rest of Ont: non-outbreak,Pending - rest of Ont: non-outbreak,Travel - rest of Ont: outbreak,Contact - rest of Ont: outbreak,Neither - rest of Ont: outbreak,Pending - rest of Ont: outbreak,Travel -  Peel all,Contact - Peel all,Neither  - Peel all,Pending - Peel all,Travel - Peel non-outbreak,Contact - Peel non-outbreak,Neither - Peel non-outbreak,Pending - Peel non-outbreak,Travel - Peel outbreak,Contact - Peel outbreak,Neither - Peel outbreak,Pending - Peel outbreak
01-Jan-20,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
